state,Avg_Prep_Time,Avg_Cook_Time
Nagaland,5.0,15.0
Karnataka,60.833333333333336,44.166666666666664
-1,63.083333333333336,35.041666666666664
Odisha,12.571428571428571,37.714285714285715
Kerala,71.75,29.25
Tamil Nadu,14.35,22.85
Chhattisgarh,10.0,60.0
Andhra Pradesh,61.0,37.5
Madhya Pradesh,15.0,42.5
Punjab,48.75,37.34375
Manipur,119.5,22.0
Jammu & Kashmir,9.5,24.5
Goa,9.666666666666666,33.0
Haryana,10.0,60.0
Gujarat,13.742857142857142,26.485714285714284
Rajasthan,22.833333333333332,40.0
Assam,5.714285714285714,14.285714285714286
NCT of Delhi,10.0,35.0
Maharashtra,15.4,51.1
West Bengal,45.125,37.416666666666664
Telangana,16.0,44.0
Bihar,21.666666666666668,66.66666666666667
Tripura,-1.0,-1.0
Uttar Pradesh,16.11111111111111,43.333333333333336
Uttarakhand,10.0,20.0
